,stop_lat,stop_lon,station
0,43.666061,-79.411065,BATHURST STATION
1,43.670149,-79.390089,BAY STATION
2,43.766872,-79.386703,BAYVIEW STATION
3,43.769202,-79.376312,BESSARION STATION
4,43.670049,-79.385389,BLOOR STATION
5,43.67715,-79.357849,BROADVIEW STATION
6,43.673452,-79.369136,CASTLE FRANK STATION
7,43.678241,-79.352502,CHESTER STATION
8,43.664124,-79.418567,CHRISTIE STATION
9,43.660149,-79.382688,COLLEGE STATION
10,43.684079,-79.322919,COXWELL STATION
11,43.697614,-79.396911,DAVISVILLE STATION
12,43.776123,-79.346242,DON MILLS STATION
13,43.681149,-79.337487,DONLANDS STATION
14,43.753311,-79.478693,DOWNSVIEW PARK STATION
15,43.660849,-79.43389,DUFFERIN STATION
16,43.655949,-79.380788,DUNDAS STATION
17,43.656975,-79.453099,DUNDAS WEST STATION
18,43.674949,-79.40709,DUPONT STATION
19,43.70565,-79.399863,EGLINTON STATION
20,43.699447,-79.436493,EGLINTON WEST STATION
21,43.766548,-79.276186,ELLESMERE STATION
22,43.780942,-79.414829,FINCH STATION
23,43.764855,-79.491118,FINCH WEST STATION
24,43.709467,-79.441148,GLENCAIRN STATION
25,43.682549,-79.331687,GREENWOOD STATION
26,43.65397,-79.466354,HIGH PARK STATION
27,43.783359,-79.523454,HIGHWAY 407 STATION
28,43.645159,-79.524843,ISLINGTON STATION
29,43.649911,-79.484072,JANE STATION
30,43.65565,-79.459571,KEELE STATION
31,43.732739,-79.263253,KENNEDY STATION
32,43.648449,-79.377688,KING STATION
33,43.637209,-79.536117,KIPLING STATION
34,43.659246,-79.442463,LANSDOWNE STATION
35,43.750347,-79.270358,LAWRENCE EAST STATION
36,43.725556,-79.402351,LAWRENCE STATION
37,43.716218,-79.444374,LAWRENCE WEST STATION
38,43.77041,-79.367644,LESLIE STATION
39,43.689037,-79.301926,MAIN STREET STATION
40,43.774882,-79.251654,MCCOWAN STATION
41,43.770448,-79.272286,MIDLAND STATION
42,43.667249,-79.393389,MUSEUM STATION
43,43.767347,-79.412492,NORTH YORK CENTRE STATION
44,43.650156,-79.495072,OLD MILL STATION
45,43.651749,-79.386888,OSGOODE STATION
46,43.662271,-79.426546,OSSINGTON STATION
47,43.680042,-79.344585,PAPE STATION
48,43.77675,-79.509372,PIONEER VILLAGE STATION
49,43.652149,-79.379188,QUEEN STATION
50,43.660549,-79.390689,QUEEN'S PARK STATION
51,43.66359,-79.590572,RENFORTH STATION
52,43.676049,-79.388089,ROSEDALE STATION
53,43.780709,-79.130359,ROUGE HILL GO STATION LOOP
54,43.648338,-79.511178,ROYAL YORK STATION
55,43.651732,-79.475954,RUNNYMEDE STATION
56,43.77429,-79.25875,SCARBOROUGH CENTRE STATION
57,43.749571,-79.462186,SHEPPARD WEST STATION
58,43.761885,-79.412389,SHEPPARD-YONGE STATION
59,43.672103,-79.376162,SHERBOURNE STATION
60,43.667271,-79.403784,SPADINA STATION
61,43.648249,-79.385088,ST ANDREW STATION
62,43.687857,-79.391958,ST CLAIR STATION
63,43.684231,-79.415227,ST CLAIR WEST STATION
64,43.668655,-79.398053,ST GEORGE STATION
65,43.655249,-79.388388,ST PATRICK STATION
66,43.682049,-79.390789,SUMMERHILL STATION
67,43.645652,-79.37921,UNION STATION
68,43.794021,-79.527906,VAUGHAN METROPOLITAN CENTRE STATION
69,43.693745,-79.288368,VICTORIA PARK STATION
70,43.710967,-79.279432,WARDEN STATION
71,43.665358,-79.383941,WELLESLEY STATION
72,43.734475,-79.45092,WILSON STATION
73,43.68644,-79.312471,WOODBINE STATION
74,43.670997,-79.385956,YONGE STATION
75,43.745172,-79.40593,YORK MILLS STATION
76,43.725248,-79.447692,YORKDALE STATION
